event_id,name,month,day,category,country_or_context,display_color,notes
new_year,Новий рік,1,1,shared_public,Ukraine and Russia,#64748b,"Recurring public holiday; use for descriptive event-window comparison only."
international_womens_day,Міжнародний жіночий день,3,8,shared_public,International / regional observance,#a855f7,"Recurring public holiday in both Ukrainian and Russian calendars during the study period; analytical context only."
full_scale_invasion_anniversary,Річниця повномасштабного вторгнення РФ,2,24,other_symbolic,Ukraine war context,#0f172a,"Symbolic war-related date included for association and uplift comparison; not a public holiday."
ukraine_remembrance_victory_day,День пам'яті та перемоги над нацизмом у Другій світовій війні,5,8,ukrainian_memorial,Ukraine,#334155,"Ukrainian memorial date on 8 May; compare alert activity in an event window without causal claims."
russia_victory_day,9 травня,5,9,russian_state,Russia,#b91c1c,"Russian state symbolic date; compare alert activity in an event window without causal claims."
ukraine_constitution_day,День Конституції України,6,28,ukrainian_public,Ukraine,#2563eb,"Ukrainian public holiday; recurring fixed date."
ukrainian_statehood_day,День Української Державності,7,15,ukrainian_public,Ukraine,#0284c7,"Ukrainian public holiday; date reflects the post-calendar-change observance used for this analysis dataset."
russia_airborne_forces_day,День ВДВ РФ,8,2,russian_military,Russia,#dc2626,"Russian military symbolic date; compare alert activity in an event window without causal claims."
ukraine_independence_day,День Незалежності України,8,24,ukrainian_public,Ukraine,#1d4ed8,"Ukrainian public holiday; recurring fixed date."
ukraine_defenders_day,День захисників і захисниць України,10,1,ukrainian_public,Ukraine,#0ea5e9,"Ukrainian public holiday and military/civic recognition date; recurring fixed date."
russia_unity_day,День народної єдності РФ,11,4,russian_state,Russia,#991b1b,"Russian public/state holiday; recurring fixed date."
christmas,Різдво,12,25,shared_public,Ukraine and international context,#16a34a,"Christmas on 25 December; recurring fixed date used as shared public/religious context."
orthodox_easter,Великдень,,,shared_public,Ukraine religious/public context,#f59e0b,"Moving holiday; concrete date changes every year and is expanded with Orthodox Easter dates."
